threshold,coverage_pct,precision_pct,risk_pct,n_routed
0.1,100.0,99.1667,0.8333,120
0.12,100.0,99.1667,0.8333,120
0.14,100.0,99.1667,0.8333,120
0.16,100.0,99.1667,0.8333,120
0.18,100.0,99.1667,0.8333,120
0.2,100.0,99.1667,0.8333,120
0.22,100.0,99.1667,0.8333,120
0.24,100.0,99.1667,0.8333,120
0.26,100.0,99.1667,0.8333,120
0.28,100.0,99.1667,0.8333,120
0.3,100.0,99.1667,0.8333,120
0.32,100.0,99.1667,0.8333,120
0.34,100.0,99.1667,0.8333,120
0.36,100.0,99.1667,0.8333,120
0.38,100.0,99.1667,0.8333,120
0.4,100.0,99.1667,0.8333,120
0.42,100.0,99.1667,0.8333,120
0.44,100.0,99.1667,0.8333,120
0.46,100.0,99.1667,0.8333,120
0.48,100.0,99.1667,0.8333,120
0.5,100.0,99.1667,0.8333,120
0.52,99.17,99.1597,0.8403,119
0.54,98.33,99.1525,0.8475,118
0.56,98.33,99.1525,0.8475,118
0.58,97.5,99.1453,0.8547,117
0.6,95.0,99.1228,0.8772,114
0.62,91.67,99.0909,0.9091,110
0.64,90.0,99.0741,0.9259,108
0.66,84.17,100.0,0.0,101
0.68,80.83,100.0,0.0,97
0.7,75.83,100.0,0.0,91
0.72,73.33,100.0,0.0,88
0.74,67.5,100.0,0.0,81
0.76,60.0,100.0,0.0,72
0.78,53.33,100.0,0.0,64
0.8,43.33,100.0,0.0,52
0.82,35.0,100.0,0.0,42
0.84,26.67,100.0,0.0,32
0.86,21.67,100.0,0.0,26
0.88,15.0,100.0,0.0,18
0.9,10.83,100.0,0.0,13
0.92,5.83,100.0,0.0,7
0.94,1.67,100.0,0.0,2
0.96,0.83,100.0,0.0,1
0.98,0.0,,,0
